url,listing_id,price_eur,area_m2,rooms,floor,max_floor,is_ground_floor,is_top_floor,heat,construction_type,newbuild,district
https://www.imot.bg/obiava-1a176233236622079-prodava-ednostaen-apartament-grad-sofiya-studentski-grad-ul-prof-kiril-popov,ida1a176233236622079,126500.0,48.0,1,1.0,6.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176217908881480-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176217908881480,135000.0,41.0,1,6.0,12.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176286736210842-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176286736210842,139999.0,46.0,1,3.0,5.0,0,0,gas,brick,0.0,Студентски град
https://www.imot.bg/obiava-1a176156952842213-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176156952842213,149000.0,43.0,1,5.0,8.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a176233479664955-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a176233479664955,149000.0,43.0,1,2.0,7.0,0,0,gas,brick,1.0,Студентски град
https://www.imot.bg/obiava-1a174732120543741-prodava-ednostaen-apartament-grad-sofiya-studentski-grad,ida1a174732120543741,144795.0,69.0,1,5.0,8.0,0,0,gas,brick,0.0,Студентски град
https://www.imot.bg/obiava-1a176287186554518-prodava-ednostaen-apartament-grad-sofiya-suhata-reka,ida1a176287186554518,98538.0,44.0,1,,,0,0,gas,brick,1.0,Сухата река
https://www.imot.bg/obiava-1a176156062094837-prodava-ednostaen-apartament-grad-sofiya-triagalnika,ida1a176156062094837,119900.0,48.0,1,6.0,6.0,0,1,gas,brick,0.0,Триъгълника
https://www.imot.bg/obiava-1a176235521891934-prodava-ednostaen-apartament-grad-sofiya-tsentar-ul-tsar-samuil,ida1a176235521891934,106000.0,25.0,1,1.0,2.0,0,0,gas,brick,0.0,Център
https://www.imot.bg/obiava-1a176192854649490-prodava-ednostaen-apartament-grad-sofiya-tsentar-ul-kozloduy,ida1a176192854649490,120000.0,40.0,1,2.0,4.0,0,0,gas,brick,0.0,Център
https://www.imot.bg/obiava-1a176008713646438-prodava-ednostaen-apartament-grad-sofiya-tsentar-pl-ruski-pametnik,ida1a176008713646438,149200.0,47.0,1,2.0,9.0,0,0,gas,brick,1.0,Център
https://www.imot.bg/obiava-1a176060721950007-prodava-ednostaen-apartament-grad-sofiya-tsentar-pl-ruski-pametnik,ida1a176060721950007,149700.0,47.0,1,3.0,9.0,0,0,gas,brick,1.0,Център
https://www.imot.bg/obiava-1a175698974949026-prodava-ednostaen-apartament-grad-sofiya-tsentar,ida1a175698974949026,165900.0,35.0,1,5.0,5.0,0,1,gas,brick,1.0,Център
https://www.imot.bg/obiava-1a176294193780261-prodava-ednostaen-apartament-grad-sofiya-tsentar-pl-ruski-pametnik,ida1a176294193780261,166600.0,46.0,1,4.0,9.0,0,0,gas,brick,1.0,Център
https://www.imot.bg/obiava-1a175749409997786-prodava-ednostaen-apartament-grad-sofiya-tsentar,ida1a175749409997786,196000.0,50.0,1,2.0,6.0,0,0,gas,brick,1.0,Център
https://www.imot.bg/obiava-1a176303808251897-prodava-ednostaen-apartament-grad-sofiya-tsentar,ida1a176303808251897,209000.0,45.0,1,1.0,3.0,0,0,gas,brick,0.0,Център
https://www.imot.bg/obiava-1a175757978496046-prodava-ednostaen-apartament-grad-sofiya-tsentar,ida1a175757978496046,227000.0,38.0,1,5.0,5.0,0,1,gas,brick,0.0,Център
https://www.imot.bg/obiava-1a175396256948601-prodava-ednostaen-apartament-grad-sofiya-banishora,ida1a175396256948601,124800.0,45.0,1,12.0,14.0,0,0,other,epk,0.0,Банишора
